Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-06-30 00:00:00,Costa Rica,Costa Rica,CR,2.34,27.65,99.45,99.45,grupoice.com
2023-07-01 00:00:00,Costa Rica,Costa Rica,CR,1.03,25.72,99.80,99.80,grupoice.com
2023-07-02 00:00:00,Costa Rica,Costa Rica,CR,1.96,28.63,99.55,99.55,grupoice.com
2023-07-03 00:00:00,Costa Rica,Costa Rica,CR,0.84,26.30,99.84,99.84,grupoice.com
2023-07-04 00:00:00,Costa Rica,Costa Rica,CR,0.63,26.01,99.88,99.88,grupoice.com
2023-07-05 00:00:00,Costa Rica,Costa Rica,CR,0.40,25.01,99.92,99.92,grupoice.com
2023-07-06 00:00:00,Costa Rica,Costa Rica,CR,0.60,26.14,99.89,99.89,grupoice.com
2023-07-07 00:00:00,Costa Rica,Costa Rica,CR,3.06,29.79,99.28,99.28,grupoice.com
2023-07-08 00:00:00,Costa Rica,Costa Rica,CR,1.00,26.46,99.80,99.80,grupoice.com
2023-07-09 00:00:00,Costa Rica,Costa Rica,CR,0.70,25.53,99.86,99.86,grupoice.com
2023-07-10 00:00:00,Costa Rica,Costa Rica,CR,4.79,31.34,98.86,98.86,grupoice.com
2023-07-11 00:00:00,Costa Rica,Costa Rica,CR,2.40,26.53,99.43,99.43,grupoice.com
2023-07-12 00:00:00,Costa Rica,Costa Rica,CR,6.27,33.15,98.50,98.50,grupoice.com
2023-07-13 00:00:00,Costa Rica,Costa Rica,CR,25.37,62.73,93.78,93.78,grupoice.com
2023-07-14 00:00:00,Costa Rica,Costa Rica,CR,16.24,48.44,96.03,96.03,grupoice.com
2023-07-15 00:00:00,Costa Rica,Costa Rica,CR,9.77,38.66,97.62,97.62,Electricity Maps Estimation; grupoice.com
2023-07-16 00:00:00,Costa Rica,Costa Rica,CR,27.52,65.68,93.26,93.26,grupoice.com
